"","date","site","plot","subplot","diversity","id","species","genus","family","growth_form","seed_source_short","type","survival","height","number_leaves","number_herb_damaged","number_fungal_damaged","number_necrotic_damaged","percent_hmin","percent_hmax","percent_fmin","percent_fmax","percent_nmin","percent_nmax","notes"
"1",2023-09-07,"a","ae31","ae31-i",1,"340","quercus serrata","quercus","fagaceae","tree","II",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"internal invader"
"2",2023-09-07,"a","ae31","ae31-i",1,"92","quercus serrata","quercus","fagaceae","tree","II","sapling","1",38,16,2,0,7,0.01,0.05,NA,NA,0.01,0.1,"internal invader"
"3",2023-09-07,"a","ae31","ae31-ii",1,"250","dalbergia hupeana","dalbergia","fabaceae","tree","EI","sapling","1",79,5,5,0,4,0.05,0.8,NA,NA,0.03,0.1,"external invader"
"4",2023-09-07,"a","ae31","ae31-iii",1,"248","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP","sapling","1",43,8,5,0,8,0.05,0.4,NA,NA,0.01,0.7,"planted, but not at this site"
"5",2023-09-07,"a","ae31","ae31-iii",1,"290","quercus sp.","quercus","fagaceae","tree","not clear","seedling","1",11,2,0,0,0,NA,NA,NA,NA,NA,NA,"not clear"
"6",2023-09-07,"a","ae31","ae31-iii",1,"364","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP","sapling","1",48,120,16,0,12,0.05,0.8,NA,NA,0.01,0.1,"4; planted, but not at this site"
"7",2023-09-07,"a","ae31","ae31-iii",1,"408","ilex pubescens","ilex","aquifoliaceae","shrub/tree","EI","sapling","1",47,37,20,35,0,0.05,0.7,0.01,0.4,NA,NA,"external invader"
"8",2023-09-07,"a","ae31","ae31-iii",1,"493","ilex pubescens","ilex","aquifoliaceae","shrub/tree","EI","sapling","1",38,62,7,60,0,0.01,0.05,0.01,0.9,NA,NA,"external invader"
"9",2023-09-07,"a","ae31","ae31-iv",1,"302","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planted, but not at this site"
"10",2023-09-07,"a","ae31","ae31-iv",1,"308","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II","sapling","n",53,120,4,8,0,0.01,0.05,0.1,0.5,NA,NA,"4; internal invader"
"11",2023-09-07,"a","ae31","ae31-iv",1,"308x","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"internal invader"
"12",2023-09-07,"a","ae31","ae31-iv",1,"421","camellia japonica","camellia","theaceae","shrub/tree","EI","sapling","1",52,51,4,15,0,0.01,0.5,0.01,0.4,NA,NA,"external invader"
"13",2023-09-08,"a","ak19","ak19-i",1,"288","nyssa sinensis","nyssa","nyssaceae","tree","II","sapling","1",21,5,2,0,1,0.05,0.5,NA,NA,0.3,0.3,"internal invader"
"14",2023-09-08,"a","ak19","ak19-i",1,"974","nyssa sinensis","nyssa","nyssaceae","tree","II","seedling","n",14,6,2,0,0,0.2,0.2,NA,NA,NA,NA,"internal invader"
"15",2023-09-08,"a","ak19","ak19-iv",1,"853","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","EI","sapling","n",26,54,6,0,0,0.01,0.2,NA,NA,NA,NA,"external invader"
"16",2023-09-08,"a","an8","an8-i",4,"769","quercus fabri","quercus","fagaceae","tree","R","sapling","1",31,30,15,0,2,0.05,0.3,NA,NA,0.05,0.05,"regeneration"
"17",2023-09-08,"a","ao27","ao27-ii",1,"133","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",22,58,1,51,0,0.05,0.05,0.01,0.05,NA,NA,"internal invader"
"18",2023-09-08,"a","ao27","ao27-ii",1,"133x","symplocos anomala","symplocos","symplocaceae","shrub/tree","EI",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external invader"
"19",2023-09-08,"a","ao27","ao27-ii",1,"397","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","1",63,120,16,20,0,0.05,0.5,0.01,0.05,NA,NA,"4; internal invader"
"20",2023-09-08,"a","ao27","ao27-ii",1,"452","symplocos anomala","symplocos","symplocaceae","shrub/tree","EI","sapling","1",45,32,26,0,0,0.05,0.99,NA,NA,NA,NA,"external invader"
"21",2023-09-08,"a","ao27","ao27-iii",1,"102","ardisia crenata","ardisia","primulaceae","shrub","II",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"internal invader"
"22",2023-09-08,"a","ao27","ao27-iii",1,"281","ardisia crenata","ardisia","primulaceae","shrub","II",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"internal invader"
"23",2023-09-08,"a","ao27","ao27-iii",1,"373","ardisia crenata","ardisia","primulaceae","shrub","II","sapling","1",34,66,2,28,0,0.05,0.1,0.01,0.05,NA,NA,"internal invader"
"24",2023-09-08,"a","ao27","ao27-iii",1,"440","ardisia crenata","ardisia","primulaceae","shrub","II","sapling","1",33,63,2,54,0,0.4,0.6,0.01,0.1,NA,NA,"internal invader"
"25",2023-09-08,"a","ao27","ao27-iii",1,"887","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",39,100,20,0,0,0.01,0.1,NA,NA,NA,NA,"3; internal invader"
"26",2023-09-08,"a","ao27","ao27-iii",1,"902","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",28,43,1,4,0,0.2,0.2,0.05,0.1,NA,NA,"internal invader"
"27",2023-09-08,"a","ao27","ao27-iv",1,"754","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II","sapling","n",20,52,0,0,0,NA,NA,NA,NA,NA,NA,"internal invader"
"28",2023-09-08,"a","ao27","ao27-iv",1,"882","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II","sapling","n",27,25,0,0,0,NA,NA,NA,NA,NA,NA,"internal invader"
"29",2023-09-08,"a","aw14","aw14-i",1,"150","symplocos anomala","symplocos","symplocaceae","shrub/tree","EI","seedling","1",14,7,7,5,0,0.05,0.05,0.01,0.1,NA,NA,"external invader"
"30",2023-09-08,"a","aw14","aw14-i",1,"655","camellia fraterna","camellia","theaceae","shrub/tree","EI","seedling","n",3,5,0,0,0,NA,NA,NA,NA,NA,NA,"external invader"
"31",2023-09-08,"a","aw14","aw14-i",1,"724","nyssa sinensis","nyssa","nyssaceae","tree","R","seedling","n",2,3,3,0,0,0.05,0.9,NA,NA,NA,NA,"regeneration"
"32",2023-09-08,"a","aw14","aw14-ii",1,"135","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",31,9,4,0,0,0.2,0.5,NA,NA,NA,NA,"main stem died (b); external invader"
"33",2023-09-08,"a","aw14","aw14-ii",1,"16","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1;6",2,2,2,2,NA,0.6,0.8,0.1,NA,NA,NA,"external invader"
"34",2023-09-08,"a","aw14","aw14-ii",1,"178","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",61,100,40,3,0,0.01,0.5,0.05,0.05,NA,NA,"3; external invader"
"35",2023-09-08,"a","aw14","aw14-ii",1,"221","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","sapling","1",22,11,8,0,0,0.1,0.7,NA,NA,NA,NA,"external invader"
"36",2023-09-08,"a","aw14","aw14-ii",1,"322","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","sapling","1",19,4,4,1,NA,0.3,0.9,0.01,0.05,NA,NA,"external invader"
"37",2023-09-08,"a","aw14","aw14-ii",1,"5","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",9,7,5,0,0,0.6,0.9,NA,NA,NA,NA,"external invader"
"38",2023-09-08,"a","aw14","aw14-ii",1,"565","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","n",63,16,15,0,0,0.05,0.5,NA,NA,NA,NA,"external invader"
"39",2023-09-08,"a","aw14","aw14-ii",1,"606","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","seedling","n",11,10,3,0,0,0.01,0.1,NA,NA,NA,NA,"external invader"
"40",2023-09-08,"a","aw14","aw14-ii",1,"852","unknown sp.","unknown","unknown","unknown",NA,"seedling","n",5,10,3,0,0,0.01,0.1,NA,NA,NA,NA,NA
"41",2023-09-08,"a","aw14","aw14-ii",1,"963","trema cannabina","trema","cannabaceae","tree","EI","seedling","n",13,12,1,0,0,0.1,0.1,NA,NA,NA,NA,"external invader"
"42",2023-09-08,"a","aw14","aw14-iii",1,"141","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",12,8,8,0,0,0.2,0.95,NA,NA,NA,NA,"external invader"
"43",2023-09-08,"a","aw14","aw14-iii",1,"203","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",8,7,7,1,0,0.4,0.9,0.9,0.9,NA,NA,"external invader"
"44",2023-09-08,"a","aw14","aw14-iii",1,"235","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",4,3,1,0,0,0.2,0.2,NA,NA,NA,NA,"external invader"
"45",2023-09-08,"a","aw14","aw14-iii",1,"403","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","sapling","1",16,11,11,NA,NA,0.2,0.9,NA,NA,NA,NA,"external invader"
"46",2023-09-08,"a","aw14","aw14-iii",1,"416","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",6,4,4,1,0,0.2,0.8,0.01,0.05,NA,NA,"external invader"
"47",2023-09-08,"a","aw14","aw14-iii",1,"494","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",7,9,6,0,0,0.2,0.6,NA,NA,NA,NA,"external invader"
"48",2023-09-08,"a","aw14","aw14-iv",1,"163","musseanda esquirolii","musseanda","rubiaceae","shrub/tree","EI","sapling","1",21,24,20,0,0,0.01,0.3,NA,NA,NA,NA,"external invader"
"49",2023-09-08,"a","aw14","aw14-iv",1,"183","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","x",7,5,3,0,0,0.15,0.85,NA,NA,NA,NA,"same individual as 19, above values merged already. values repeated here for completeness of data; external invader"
"50",2023-09-08,"a","aw14","aw14-iv",1,"19","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",8,8,6,0,0,0.05,0.85,NA,NA,NA,NA,"external invader"
"51",2023-09-08,"a","aw14","aw14-iv",1,"214","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","sapling","1",27,8,8,0,0,0.1,0.6,NA,NA,NA,NA,"external invader"
"52",2023-09-08,"a","aw14","aw14-iv",1,"31x","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external invader"
"53",2023-09-08,"a","aw14","aw14-iv",1,"32","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",51,55,15,0,4,0.05,0.3,NA,NA,0.01,0.05,"external invader"
"54",2023-09-08,"a","aw14","aw14-iv",1,"356","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",24,33,8,0,0,0.01,0.1,NA,NA,NA,NA,"external invader"
"55",2023-09-08,"a","aw14","aw14-iv",1,"358","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",12,2,2,0,0,0.6,0.85,NA,NA,NA,NA,"external invader"
"56",2023-09-08,"a","aw14","aw14-iv",1,"378","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external invader"
"57",2023-09-08,"a","aw14","aw14-iv",1,"433","styrax odoratissimus","styrax","styracaceae","shrub/tree","EI","seedling","1",13,3,3,0,0,0.5,0.85,NA,NA,NA,NA,"external invader"
"58",2023-09-08,"a","aw14","aw14-iv",1,"446","buddleja lindleyana","buddleja","scrophulariaceae","shrub","EI","sapling","1",37,60,8,0,0,0.05,0.5,NA,NA,NA,NA,"external invader"
