"subplot","date","tree_diversity","tot_veg","herb_max","grass","fern","herbaceous","woody","open_ground","rock","leaflitter","leaflitter_dept","moss","n_species"
"ac32-i","2023-07-01",2,0.25,27,0.03,0,0.01,0.2,NA,0,0.05,NA,0.03,1
"ac32-ii","2023-07-01",2,0.4,82,0.01,0.15,0.1,0.15,NA,0,0.02,NA,0.1,2
"ac32-iii","2023-07-01",2,0.3,48,0.001,0.15,0.05,0.1,NA,0,0.4,NA,0,2
"ac32-iv","2023-07-01",2,0.2,32,0.02,0.05,0.05,0.05,NA,0,0.05,NA,0.05,3
"ae31-i","2023-06-18",1,0.05,20,0.001,0.01,0.001,0.02,NA,0,0.2,NA,0.02,1
"ae31-ii","2023-06-18",1,0.1,35,0,0.05,0.01,0.05,NA,0,0.4,NA,0.001,1
"ae31-iii","2023-06-18",1,0.4,39,0.001,0.05,0.001,0.35,NA,0,0.5,NA,0.01,3
"ae31-iv","2023-06-18",1,0.05,27,0.001,0.001,0.001,0.01,NA,0,0.05,NA,0.001,2
"ae33-ii","2023-06-18",1,0.02,9,0,0.01,0,0.01,NA,0,0.7,NA,0.05,1
"ae33-iii","2023-06-18",1,0.05,35,0,0,0.01,0.05,NA,0.02,0.85,NA,0,1
"ae33-iv","2023-06-18",1,0.05,41,0,0.02,0.001,0.02,NA,0.03,0.7,NA,0.001,1
"af21-i","2023-06-28",1,0.3,101,0.1,0.15,0.3,0.05,NA,0,0.1,NA,0,1
"af21-ii","2023-06-28",1,0.8,97,0.3,0.15,0.15,0.15,NA,0,0.15,NA,0,1
"af21-iii","2023-06-28",1,0.25,126,0.05,0.1,0.05,0.001,NA,0,0.1,NA,0,3
"af21-iv","2023-06-28",1,0.6,75,0.1,0.5,0.01,0.01,NA,0,0.25,NA,0,2
"af27-i","2023-09-18",4,0.1,37,0.02,0.02,0.001,0.05,NA,0,0.6,NA,0.4,2
"af27-ii","2023-06-28",4,0.25,40,0.01,0.2,0.01,0.02,NA,0,0.1,NA,0,1
"af27-iii","2023-06-28",4,0.15,60,0,0.1,0.01,0.03,NA,0.01,0.05,NA,0.03,3
"af27-iv","2023-06-28",4,0.1,24,0,0.05,0.001,0.05,NA,0,0.1,NA,0.1,2
"ag24-i","2023-06-28",1,0.2,88,0.01,0.15,0.03,0.02,NA,0,0.1,NA,0.05,1
"ag24-ii","2023-09-10",1,0.15,35,0.001,0.01,0.15,0.001,NA,0,0.2,NA,0,1
"ag24-iii","2023-06-28",1,0.15,70,0,0.07,0.07,0,NA,0,0.2,NA,0,1
"ah31-i","2023-06-30",2,0.1,25,0.001,0.001,0.02,0.1,NA,0.1,0.3,NA,0,3
"ah31-ii","2023-06-30",2,0.25,53,0.001,0.1,0.05,0.1,NA,0.2,0.25,NA,0.03,3
"ah31-iii","2023-06-30",2,0.5,44,0.2,0.01,0.03,0.25,NA,0.15,0.4,NA,0.05,2
"ah31-iv","2023-06-30",2,0.1,24,0.02,0.01,0.03,0.05,NA,0,0.6,NA,0,2
"ai12-i","2023-06-28",1,0.15,54,0.1,0.02,0.01,0.01,NA,0,0.05,NA,0.15,3
"ai12-ii","2023-06-28",1,0.6,47,0.15,0.2,0.15,0.1,NA,0,0.2,NA,0,1
"ai12-iii","2023-06-28",1,0.6,63,0,0.5,0.02,0.1,NA,0,0.03,NA,0.02,1
"ai12-iv","2023-06-28",1,0.4,95,0,0.4,0.001,0.001,NA,0.01,0.3,NA,0.1,2
"ai27-ii","2023-06-17",2,0.6,34,0.001,0.5,0.02,0.05,NA,0,0.2,NA,0,3
"ai27-iii","2023-06-17",2,0.6,39,0,0.4,0.01,0.2,NA,0,0.6,NA,0,3
"ai27-iv","2023-06-17",2,0.4,58,0.001,0.3,0.02,0.05,NA,0,0.6,NA,0,2
"ai28-i","2023-06-17",1,0.5,38,0.001,0.45,0.001,0.05,NA,0,0.6,NA,0,1
"ai28-ii","2023-06-17",1,0.25,30,0,0.25,0,0.01,NA,0,0.9,NA,0,1
"aj21-i","2023-07-01",2,0.001,36,0.001,0,0,0.001,NA,0.1,0.3,NA,0.2,3
"aj21-ii","2023-07-01",2,0.2,68,0,0.15,0.01,0.1,NA,0.03,0.75,NA,0.01,3
"aj21-iii","2023-07-01",2,0.05,72,0,0.03,0.01,0.02,NA,0.1,0.2,NA,0.02,2
