"","date","year","site","plot","subplot","type","diversity","id","species","genus","family","growth_form","seed_source_short","survival","height","number_leaves","number_herb_damaged","percent_hmin","percent_hmax","number_fungal_damaged","percent_fungal","percent_fmin","percent_fmax","number_necrotic_damaged","percent_necrose","percent_nmin","percent_nmax","tot_veg","percent_herb","herb_max","grass","fern","herbaceous","woody","saplings","seedlings","open_ground","rock","leaflitter","leaflitter_dept","deadwood","moss","rli","soil_h20","soil_ph_k_cl","soil_n","soil_c","soil_c_n","soil_h20_all","soil_ph_k_cl_all","soil_n_all","soil_c_all","soil_c_n_all","notes"
"1","2024-05-26",2024,"a","ac32","ac32-i",NA,2,"276","lindera reflexa","lindera","lauraceae","shrub/tree","ei","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,72,0.1,0,0.01,0.4,NA,NA,0.3,0,0.2,1,0,0.1,21.7863378826212,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506,"big cunninghamia right in the middle (128cm high) "
"2","2024-05-26",2024,"a","ac32","ac32-i",NA,2,"327","lindera reflexa","lindera","lauraceae","shrub/tree","ei","1",70,93,14,0.01,0.5,9,0.0967741935483871,0.01,0.45,0,0,NA,NA,0.5,NA,72,0.1,0,0.01,0.4,NA,NA,0.3,0,0.2,1,0,0.1,21.7863378826212,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506,"big cunninghamia right in the middle (128cm high) "
"3","2024-05-26",2024,"a","ac32","ac32-i",NA,2,"597","lindera reflexa","lindera","lauraceae","shrub/tree","ei","1",86,250,0,NA,NA,3,0.012,0.05,0.15,0,0,NA,NA,0.5,NA,72,0.1,0,0.01,0.4,NA,NA,0.3,0,0.2,1,0,0.1,21.7863378826212,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506,"big cunninghamia right in the middle (128cm high) "
"4","2024-05-26",2024,"a","ac32","ac32-i",NA,2,"1658","seedling",NA,NA,NA,NA,"s",6,6,3,0.2,0.3,0,0,NA,NA,0,0,NA,NA,0.5,NA,72,0.1,0,0.01,0.4,NA,NA,0.3,0,0.2,1,0,0.1,21.7863378826212,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506,"big cunninghamia right in the middle (128cm high) "
"5","2024-05-26",2024,"a","ac32","ac32-i",NA,2,"1520","quercus sp.","quercus","fagaceae","tree",NA,"n",52,17,12,0.05,0.3,6,0.352941176470588,0.05,0.05,0,0,NA,NA,0.5,NA,72,0.1,0,0.01,0.4,NA,NA,0.3,0,0.2,1,0,0.1,21.7863378826212,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506,"big cunninghamia right in the middle (128cm high) "
"6","2024-05-26",2024,"a","ac32","ac32-i",NA,2,"1526","seedling",NA,NA,NA,NA,"s",5,2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0.5,NA,72,0.1,0,0.01,0.4,NA,NA,0.3,0,0.2,1,0,0.1,21.7863378826212,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506,"big cunninghamia right in the middle (128cm high) "
"7","2024-05-26",2024,"a","ac32","ac32-ii",NA,2,"666","quercus fabri","quercus","fagaceae","tree","ii","1",44,59,24,0.01,0.55,3,0.0508474576271186,0.01,0.4,0,0,NA,NA,0.65,NA,71,0,0.1,0.35,0.2,NA,NA,0.25,0.01,0.05,1,0,0.05,10.0722765363129,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," "
"8","2024-05-26",2024,"a","ac32","ac32-ii",NA,2,"333","syzygium buxifolium","syzygium","myrtaceae","shrub/tree","ii","1",86,800,8,0.01,0.3,10,0.0125,0.05,0.2,0,0,NA,NA,0.65,NA,71,0,0.1,0.35,0.2,NA,NA,0.25,0.01,0.05,1,0,0.05,10.0722765363129,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," "
"9","2024-05-26",2024,"a","ac32","ac32-iii",NA,2,"660","adinandra millettii","adinandra","pentaphylacaceae","shrub/tree","ei","1",120,400,40,0.01,0.5,20,0.05,0.01,0.25,0,0,NA,NA,0.75,NA,85,0.01,0.45,0.01,0.3,NA,NA,0.15,0,0.05,4,0,0.05,14.2313253012048,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," "
"10","2024-05-26",2024,"a","ac32","ac32-iii",NA,2,"667","buddleja lindleyana","buddleja","scrophulariaceae","shrub","ei","1",91,11,11,0.05,0.15,0,0,NA,NA,0,0,NA,NA,0.75,NA,85,0.01,0.45,0.01,0.3,NA,NA,0.15,0,0.05,4,0,0.05,14.2313253012048,4.805,3.785,0.214426144957542,3.19129800796509,14.8864112534621,4.673,3.735,0.140428450703621,1.7618909239769,12.0010159795506," "
