"date","site","plot","subplot","diversity","id","species","genus","family","growth_form","seed_source_short","tot_veg","herb_max","grass","fern","herbaceous","woody","open_ground","rock","leaflitter","leaflitter_dept","deadwood","moss","notes","survival","height","number_leaves","number_herb_damaged","percent_hmin","percent_hmax","number_fungal_damaged","percent_fungal","percent_fmin","percent_fmax","number_necrotic_damaged","percent_necrose","percent_nmin","percent_nmax","notes2","year","type","month","percent_herb","saplings","seedlings"
2024-05-26,"a","ac32","ac32-i",2,"276","lindera reflexa","lindera","lauraceae","shrub/tree","EI",0.5,72,0.1,0,0.01,0.4,0.3,0,0.2,1,0,0.1,"big cunninghamia right in the middle (128cm high)","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-i",2,"276","lindera reflexa","lindera","lauraceae","shrub/tree",NA,0.5,72,0.1,0,0.01,0.4,0.3,0,0.2,1,0,0.1,"big cunninghamia right in the middle (128cm high)","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-i",2,"327","lindera reflexa","lindera","lauraceae","shrub/tree","EI",0.5,72,0.1,0,0.01,0.4,0.3,0,0.2,1,0,0.1,"big cunninghamia right in the middle (128cm high)","1",70,93,14,0.01,0.5,9,0.0967741935483871,0.01,0.45,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-i",2,"327","lindera reflexa","lindera","lauraceae","shrub/tree",NA,0.5,72,0.1,0,0.01,0.4,0.3,0,0.2,1,0,0.1,"big cunninghamia right in the middle (128cm high)","1",70,93,14,0.01,0.5,9,0.0967741935483871,0.01,0.45,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-i",2,"597","lindera reflexa","lindera","lauraceae","shrub/tree","EI",0.5,72,0.1,0,0.01,0.4,0.3,0,0.2,1,0,0.1,"big cunninghamia right in the middle (128cm high)","1",86,250,0,NA,NA,3,0.012,0.05,0.15,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-i",2,"597","lindera reflexa","lindera","lauraceae","shrub/tree",NA,0.5,72,0.1,0,0.01,0.4,0.3,0,0.2,1,0,0.1,"big cunninghamia right in the middle (128cm high)","1",86,250,0,NA,NA,3,0.012,0.05,0.15,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-i",2,"1658","seedling",NA,NA,NA,NA,0.5,72,0.1,0,0.01,0.4,0.3,0,0.2,1,0,0.1,"big cunninghamia right in the middle (128cm high)","s",6,6,3,0.2,0.3,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-i",2,"1520","quercus sp.",NA,NA,NA,NA,0.5,72,0.1,0,0.01,0.4,0.3,0,0.2,1,0,0.1,"big cunninghamia right in the middle (128cm high)","n",52,17,12,0.05,0.3,6,0.352941176470588,0.05,0.05,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-i",2,"1526","seedling",NA,NA,NA,NA,0.5,72,0.1,0,0.01,0.4,0.3,0,0.2,1,0,0.1,"big cunninghamia right in the middle (128cm high)","s",5,2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-ii",2,"666","quercus fabri","quercus","fagaceae","tree","II",0.65,71,0,0.1,0.35,0.2,0.25,0.01,0.05,1,0,0.05,NA,"1",44,59,24,0.01,0.55,3,0.0508474576271186,0.01,0.4,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-ii",2,"666","quercus fabri","quercus","fagaceae","tree",NA,0.65,71,0,0.1,0.35,0.2,0.25,0.01,0.05,1,0,0.05,NA,"1",44,59,24,0.01,0.55,3,0.0508474576271186,0.01,0.4,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
2024-05-26,"a","ac32","ac32-ii",2,"333","syzygium buxifolium","syzygium","myrtaceae","shrub/tree","II",0.65,71,0,0.1,0.35,0.2,0.25,0.01,0.05,1,0,0.05,NA,"1",86,800,8,0.01,0.3,10,0.0125,0.05,0.2,0,0,NA,NA,NA,2024,NA,NA,NA,NA,NA
