"","site","plot","subplot","diversity","id","species","genus","family","growth_form","seed_source_short","percent_change_height","percent_change_number_leaves","percent_change_number_herb_damaged","percent_change_number_fungal_damaged","percent_change_number_necrotic_damaged","percent_change_percent_herb","percent_change_percent_necrose","percent_change_percent_fungal","tot_veg","herb_max","grass","fern","herbaceous","woody","rock","deadwood","leaflitter","moss","saplings","seedlings","delta_height","delta_number_leaves","delta_number_herb_damaged","delta_number_fungal_damaged","delta_number_necrotic_damaged","delta_percent_herb","delta_percent_necrose","delta_percent_fungal"
"1","a","ae31","ae31-i",1,"340","quercus serrata","quercus","fagaceae","tree","II",-100,-100,-100,-100,NA,-100,NA,-100,0.05,20,0.001,0.01,0.001,0.02,0,0.05,0.2,0.02,2,10,-52,-15,-7,-15,0,-0.466666666666667,0,-1
"2","a","ae31","ae31-i",1,"92","quercus serrata","quercus","fagaceae","tree","II",58.3333333333333,33.3333333333333,NA,-100,NA,NA,NA,-100,0.05,20,0.001,0.01,0.001,0.02,0,0.05,0.2,0.02,2,10,14,4,2,-4,7,0.125,0.4375,-0.333333333333333
"3","a","ae31","ae31-ii",1,"250","dalbergia hupeana","dalbergia","fabaceae","tree","EI",9.72222222222222,0,400,NA,NA,400,NA,NA,0.1,35,0,0.05,0.01,0.05,0,0.02,0.4,0.001,1,12,7,0,4,0,4,0.8,0.8,0
"4","a","ae31","ae31-iii",1,"248","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP",0,-72.4137931034483,0,-100,NA,262.500000000001,NA,-100,0.4,39,0.001,0.05,0.001,0.35,0,0.001,0.5,0.01,6,4,0,-21,0,-10,8,0.452586206896552,1,-0.344827586206897
"5","a","ae31","ae31-iii",1,"290","quercus sp.","quercus","fagaceae","tree","not clear",0,0,NA,NA,NA,NA,NA,NA,0.4,39,0.001,0.05,0.001,0.35,0,0.001,0.5,0.01,6,4,0,0,0,0,0,0,0,0
"6","a","ae31","ae31-iii",1,"364","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP",14.2857142857143,20,77.7777777777778,NA,NA,48.1481481481478,NA,NA,0.4,39,0.001,0.05,0.001,0.35,0,0.001,0.5,0.01,6,4,6,20,7,0,12,0.043333333333333,0.1,0
"7","a","ae31","ae31-iii",1,"408","ilex pubescens","ilex","aquifoliaceae","shrub/tree","EI",2.17391304347826,85,233.333333333333,NA,NA,80.1801801801803,NA,NA,0.4,39,0.001,0.05,0.001,0.35,0,0.001,0.5,0.01,6,4,1,17,14,35,0,0.240540540540541,0,0.945945945945946
"8","a","ae31","ae31-iii",1,"493","ilex pubescens","ilex","aquifoliaceae","shrub/tree","EI",-2.56410256410256,5.08474576271187,-22.2222222222222,NA,NA,-25.9856630824371,NA,NA,0.4,39,0.001,0.05,0.001,0.35,0,0.001,0.5,0.01,6,4,-1,3,-2,60,0,-0.039639147074904,0,0.967741935483871
"9","a","ae31","ae31-iv",1,"302","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP",-100,-100,-100,NA,NA,-100,NA,NA,0.05,27,0.001,0.001,0.001,0.01,0,0.001,0.05,0.001,5,6,-5,-54,-7,0,0,-0.12962962962963,0,0
"10","a","ae31","ae31-iv",1,"308","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",NA,NA,NA,NA,NA,NA,NA,NA,0.05,27,0.001,0.001,0.001,0.01,0,0.001,0.05,0.001,5,6,NA,NA,NA,NA,NA,NA,NA,NA
"11","a","ae31","ae31-iv",1,"308x","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",NA,NA,NA,NA,NA,NA,NA,NA,0.05,27,0.001,0.001,0.001,0.01,0,0.001,0.05,0.001,5,6,NA,NA,NA,NA,NA,NA,NA,NA
"12","a","ae31","ae31-iv",1,"421","camellia japonica","camellia","theaceae","shrub/tree","EI",48.5714285714286,-19.047619047619,NA,66.6666666666667,NA,NA,NA,105.882352941177,0.05,27,0.001,0.001,0.001,0.01,0,0.001,0.05,0.001,5,6,17,-12,4,6,0,0.0784313725490196,0,0.151260504201681
"13","a","ak19","ak19-i",1,"288","nyssa sinensis","nyssa","nyssaceae","tree","II",250,66.6666666666667,100,NA,NA,20.0000000000001,NA,NA,0.001,6,0,0,0,0.001,0,0.02,0.5,0,1,0,15,2,1,0,NA,0.066666666666667,NA,0
"14","a","ak19","ak19-i",1,"974","nyssa sinensis","nyssa","nyssaceae","tree","II",NA,NA,NA,NA,NA,NA,NA,NA,0.001,6,0,0,0,0.001,0,0.02,0.5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"15","a","ak19","ak19-iv",1,"853","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.001,15,0,0.001,0.001,0,0,0,0.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"16","a","an8","an8-i",4,"769","quercus fabri","quercus","fagaceae","tree","R",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.001,0,0,0.5,0.01,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"17","a","ao27","ao27-ii",1,"133","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",NA,NA,NA,NA,NA,NA,NA,NA,0.1,78,0.03,0.02,0.01,0.02,0,0,0.8,0,3,8,NA,NA,NA,NA,NA,NA,NA,NA
"18","a","ao27","ao27-ii",1,"133x","symplocos anomala","symplocos","symplocaceae","shrub/tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.1,78,0.03,0.02,0.01,0.02,0,0,0.8,0,3,8,NA,NA,NA,NA,NA,NA,NA,NA
"19","a","ao27","ao27-ii",1,"397","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",75,400,NA,NA,NA,NA,NA,NA,0.1,78,0.03,0.02,0.01,0.02,0,0,0.8,0,3,8,27,96,16,20,0,0.133333333333333,0,0.166666666666667
"20","a","ao27","ao27-ii",1,"452","symplocos anomala","symplocos","symplocaceae","shrub/tree","EI",40.625,-36,13.0434782608696,NA,NA,76.6304347826087,NA,NA,0.1,78,0.03,0.02,0.01,0.02,0,0,0.8,0,3,8,13,-18,3,0,0,0.3525,0,0
"21","a","ao27","ao27-iii",1,"102","ardisia crenata","ardisia","primulaceae","shrub","II",-100,-100,NA,NA,NA,NA,NA,NA,0.3,29,0.1,0.1,0.03,0.05,0.01,0.02,0.3,0,3,12,-16,-8,0,0,0,0,0,0
"22","a","ao27","ao27-iii",1,"281","ardisia crenata","ardisia","primulaceae","shrub","II",NA,NA,NA,NA,NA,NA,NA,NA,0.3,29,0.1,0.1,0.03,0.05,0.01,0.02,0.3,0,3,12,NA,NA,NA,NA,NA,NA,NA,NA
"23","a","ao27","ao27-iii",1,"373","ardisia crenata","ardisia","primulaceae","shrub","II",0,65,-60,NA,NA,-75.7575757575758,NA,NA,0.3,29,0.1,0.1,0.03,0.05,0.01,0.02,0.3,0,3,12,0,26,-3,28,0,-0.0946969696969697,0,0.424242424242424
"24","a","ao27","ao27-iii",1,"440","ardisia crenata","ardisia","primulaceae","shrub","II",0,320,-33.3333333333333,NA,NA,-84.1269841269842,NA,NA,0.3,29,0.1,0.1,0.03,0.05,0.01,0.02,0.3,0,3,12,0,48,-1,54,0,-0.168253968253968,0,0.857142857142857
"25","a","ao27","ao27-iii",1,"887","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",NA,NA,NA,NA,NA,NA,NA,NA,0.3,29,0.1,0.1,0.03,0.05,0.01,0.02,0.3,0,3,12,NA,NA,NA,NA,NA,NA,NA,NA
"26","a","ao27","ao27-iii",1,"902","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II",NA,NA,NA,NA,NA,NA,NA,NA,0.3,29,0.1,0.1,0.03,0.05,0.01,0.02,0.3,0,3,12,NA,NA,NA,NA,NA,NA,NA,NA
"27","a","ao27","ao27-iv",1,"754","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",NA,NA,NA,NA,NA,NA,NA,NA,0.25,10,0.2,0.01,0.01,0.001,0.02,0.01,0.1,0.03,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"28","a","ao27","ao27-iv",1,"882","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",NA,NA,NA,NA,NA,NA,NA,NA,0.25,10,0.2,0.01,0.01,0.001,0.02,0.01,0.1,0.03,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"29","a","aw14","aw14-i",1,"150","symplocos anomala","symplocos","symplocaceae","shrub/tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.01,15,0,0.001,0.001,0.001,0.03,0.01,0.001,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA
"30","a","aw14","aw14-i",1,"655","camellia fraterna","camellia","theaceae","shrub/tree","EI",NA,NA,NA,NA,NA,NA,NA,NA,0.01,15,0,0.001,0.001,0.001,0.03,0.01,0.001,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA
"31","a","aw14","aw14-i",1,"724","nyssa sinensis","nyssa","nyssaceae","tree","R",NA,NA,NA,NA,NA,NA,NA,NA,0.01,15,0,0.001,0.001,0.001,0.03,0.01,0.001,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA
