"","date","site","plot","subplot","diversity","id","species","genus","family","growth_form","seed_source_short","type","survival","height","number_leaves","number_herb_damaged","number_fungal_damaged","number_necrotic_damaged","percent_hmin","percent_hmax","percent_fmin","percent_fmax","percent_nmin","percent_nmax","month","year","percent_herb","percent_necrose","percent_fungal","notes"
"1",2023-09-07,"a","ae31","ae31-i",1,"340","quercus serrata","quercus","fagaceae","tree","II",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"internal invader"
"2",2023-09-07,"a","ae31","ae31-i",1,"92","quercus serrata","quercus","fagaceae","tree","II","sapling","1",38,16,2,0,7,0.01,0.05,NA,NA,0.01,0.1,9,2023,0.125,0.4375,0,"internal invader"
"3",2023-09-07,"a","ae31","ae31-ii",1,"250","dalbergia hupeana","dalbergia","fabaceae","tree","EI","sapling","1",79,5,5,0,4,0.05,0.8,NA,NA,0.03,0.1,9,2023,1,0.8,0,"external invader"
"4",2023-09-07,"a","ae31","ae31-iii",1,"248","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP","sapling","1",43,8,5,0,8,0.05,0.4,NA,NA,0.01,0.7,9,2023,0.625,1,0,"planted, but not at this site"
"5",2023-09-07,"a","ae31","ae31-iii",1,"290","quercus sp.","quercus","fagaceae","tree","not clear","seedling","1",11,2,0,0,0,NA,NA,NA,NA,NA,NA,9,2023,0,0,0,"not clear"
"6",2023-09-07,"a","ae31","ae31-iii",1,"364","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP","sapling","1",48,120,16,0,12,0.05,0.8,NA,NA,0.01,0.1,9,2023,0.133333333333333,0.1,0,"4; planted, but not at this site"
"7",2023-09-07,"a","ae31","ae31-iii",1,"408","ilex pubescens","ilex","aquifoliaceae","shrub/tree","EI","sapling","1",47,37,20,35,0,0.05,0.7,0.01,0.4,NA,NA,9,2023,0.540540540540541,0,0.945945945945946,"external invader"
"8",2023-09-07,"a","ae31","ae31-iii",1,"493","ilex pubescens","ilex","aquifoliaceae","shrub/tree","EI","sapling","1",38,62,7,60,0,0.01,0.05,0.01,0.9,NA,NA,9,2023,0.112903225806452,0,0.967741935483871,"external invader"
"9",2023-09-07,"a","ae31","ae31-iv",1,"302","rhododendron simsii","rhododendron","ericaceae","shrub/tree","ASP",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"planted, but not at this site"
"10",2023-09-07,"a","ae31","ae31-iv",1,"308","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II","sapling","n",53,120,4,8,0,0.01,0.05,0.1,0.5,NA,NA,9,2023,0.0333333333333333,0,0.0666666666666667,"4; internal invader"
"11",2023-09-07,"a","ae31","ae31-iv",1,"308x","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"internal invader"
"12",2023-09-07,"a","ae31","ae31-iv",1,"421","camellia japonica","camellia","theaceae","shrub/tree","EI","sapling","1",52,51,4,15,0,0.01,0.5,0.01,0.4,NA,NA,9,2023,0.0784313725490196,0,0.294117647058824,"external invader"
"13",2023-09-08,"a","ak19","ak19-i",1,"288","nyssa sinensis","nyssa","nyssaceae","tree","II","sapling","1",21,5,2,0,1,0.05,0.5,NA,NA,0.3,0.3,9,2023,0.4,0.2,0,"internal invader"
"14",2023-09-08,"a","ak19","ak19-i",1,"974","nyssa sinensis","nyssa","nyssaceae","tree","II","seedling","n",14,6,2,0,0,0.2,0.2,NA,NA,NA,NA,9,2023,0.333333333333333,0,0,"internal invader"
"15",2023-09-08,"a","ak19","ak19-iv",1,"853","ilex suaveolens","ilex","aquifoliaceae","shrub/tree","EI","sapling","n",26,54,6,0,0,0.01,0.2,NA,NA,NA,NA,9,2023,0.111111111111111,0,0,"external invader"
"16",2023-09-08,"a","an8","an8-i",4,"769","quercus fabri","quercus","fagaceae","tree","R","sapling","1",31,30,15,0,2,0.05,0.3,NA,NA,0.05,0.05,9,2023,0.5,0.0666666666666667,0,"regeneration"
"17",2023-09-08,"a","ao27","ao27-ii",1,"133","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",22,58,1,51,0,0.05,0.05,0.01,0.05,NA,NA,9,2023,0.0172413793103448,0,0.879310344827586,"internal invader"
"18",2023-09-08,"a","ao27","ao27-ii",1,"133x","symplocos anomala","symplocos","symplocaceae","shrub/tree","EI",NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"external invader"
"19",2023-09-08,"a","ao27","ao27-ii",1,"397","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","1",63,120,16,20,0,0.05,0.5,0.01,0.05,NA,NA,9,2023,0.133333333333333,0,0.166666666666667,"4; internal invader"
"20",2023-09-08,"a","ao27","ao27-ii",1,"452","symplocos anomala","symplocos","symplocaceae","shrub/tree","EI","sapling","1",45,32,26,0,0,0.05,0.99,NA,NA,NA,NA,9,2023,0.8125,0,0,"external invader"
"21",2023-09-08,"a","ao27","ao27-iii",1,"102","ardisia crenata","ardisia","primulaceae","shrub","II",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"internal invader"
"22",2023-09-08,"a","ao27","ao27-iii",1,"281","ardisia crenata","ardisia","primulaceae","shrub","II",NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2023,NA,NA,NA,"internal invader"
"23",2023-09-08,"a","ao27","ao27-iii",1,"373","ardisia crenata","ardisia","primulaceae","shrub","II","sapling","1",34,66,2,28,0,0.05,0.1,0.01,0.05,NA,NA,9,2023,0.0303030303030303,0,0.424242424242424,"internal invader"
"24",2023-09-08,"a","ao27","ao27-iii",1,"440","ardisia crenata","ardisia","primulaceae","shrub","II","sapling","1",33,63,2,54,0,0.4,0.6,0.01,0.1,NA,NA,9,2023,0.0317460317460317,0,0.857142857142857,"internal invader"
"25",2023-09-08,"a","ao27","ao27-iii",1,"887","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",39,100,20,0,0,0.01,0.1,NA,NA,NA,NA,9,2023,0.2,0,0,"3; internal invader"
"26",2023-09-08,"a","ao27","ao27-iii",1,"902","eurya muricata","eurya","pentaphylacaceae","shrub/tree","II","sapling","n",28,43,1,4,0,0.2,0.2,0.05,0.1,NA,NA,9,2023,0.0232558139534884,0,0.0930232558139535,"internal invader"
"27",2023-09-08,"a","ao27","ao27-iv",1,"754","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II","sapling","n",20,52,0,0,0,NA,NA,NA,NA,NA,NA,9,2023,0,0,0,"internal invader"
"28",2023-09-08,"a","ao27","ao27-iv",1,"882","loropetalum chinense","loropetalum","hamamelidaceae","shrub","II","sapling","n",27,25,0,0,0,NA,NA,NA,NA,NA,NA,9,2023,0,0,0,"internal invader"
"29",2023-09-08,"a","aw14","aw14-i",1,"150","symplocos anomala","symplocos","symplocaceae","shrub/tree","EI","seedling","1",14,7,7,5,0,0.05,0.05,0.01,0.1,NA,NA,9,2023,1,0,0.714285714285714,"external invader"
"30",2023-09-08,"a","aw14","aw14-i",1,"655","camellia fraterna","camellia","theaceae","shrub/tree","EI","seedling","n",3,5,0,0,0,NA,NA,NA,NA,NA,NA,9,2023,0,0,0,"external invader"
